,State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
6499,Bihar,KHAGARIA,Maize,2003,Kharif,15298.0,Hectare,21589.0,Tonnes,1.411230226173356
6500,Bihar,KHAGARIA,Maize,2003,Rabi,24745.0,Hectare,101380.0,Tonnes,4.096989290765811
6501,Bihar,KHAGARIA,Maize,2003,Summer,9543.0,Hectare,30586.0,Tonnes,3.2050717803625695
6502,Bihar,KISHANGANJ,Maize,2001,Autumn,202.0,Hectare,346.0,Tonnes,1.7128712871287128
6503,Bihar,KISHANGANJ,Maize,2001,Rabi,510.0,Hectare,1348.0,Tonnes,2.6431372549019607
6504,Bihar,KISHANGANJ,Maize,2001,Summer,177.0,Hectare,433.0,Tonnes,2.446327683615819
6505,Bihar,KISHANGANJ,Maize,2002,Autumn,885.0,Hectare,1753.0,Tonnes,1.9807909604519771
6506,Bihar,KISHANGANJ,Maize,2002,Rabi,512.0,Hectare,1195.0,Tonnes,2.333984375
6507,Bihar,KISHANGANJ,Maize,2002,Summer,198.0,Hectare,418.0,Tonnes,2.111111111111111
6508,Bihar,KISHANGANJ,Maize,2003,Kharif,173.0,Hectare,434.0,Tonnes,2.508670520231214
6509,Bihar,KISHANGANJ,Maize,2003,Rabi,272.0,Hectare,441.0,Tonnes,1.6213235294117647
6510,Bihar,KISHANGANJ,Maize,2003,Summer,209.0,Hectare,465.0,Tonnes,2.22488038277512
6511,Bihar,LAKHISARAI,Maize,2001,Autumn,3455.0,Hectare,6996.0,Tonnes,2.024891461649783
6512,Bihar,LAKHISARAI,Maize,2001,Summer,78.0,Hectare,161.0,Tonnes,2.0641025641025643
6513,Bihar,LAKHISARAI,Maize,2002,Autumn,4444.0,Hectare,8921.0,Tonnes,2.007425742574257
