"crop","sum","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Rice","76.6690577723575987","Punjab",2010,"3.8","13.8","1.9","0.7","6","41.8","143.8","96.7","112.8","4.7","1.1","24.4","451.5","30.92932","75.50048000000002"
"Maize","28.0809256069474591","Uttarakhand",2013,"73","188.3","22","24.7","18.2","488.9","413.4","359.4","111.3","29.1","3.2","3.8","1735.3","30.04174","79.08969"
"Moong(Green Gram)","9.8333333333333332","Punjab",2012,"62.6","3.2","1.9","31.1","1.6","11.9","120.2","135.1","112.3","2.2","0.4","11","493.5","30.92932","75.50048000000002"
"Maize","20.8767210401439527","Uttarakhand",2009,"1.8","27.6","18.8","18.4","77.6","41.9","157.5","202.6","206.6","81.3","12.6","0.9","847.6","30.04174","79.08969"
"Moong(Green Gram)","36.0497127468786094","Bihar",2002,"13.4","11.3","2.2","25","74.8","116.6","386.1","247.7","192.8","33.8","1.4","0.7","1105.8000000000004","25.64408","85.90651"
"Maize","19.3084666950004055","Himachal Pradesh",2002,"66.7","136.5","136.9","124","27","56.1","81.8","225.6","123.1","8.2","0.7","3.9","990.5","31.81676","77.34931999999998"
"Rice","11.3763861067107290","Chhattisgarh",2002,"41.5","4.9","12.2","3.3","32.1","196.3","138.4","352.4","122.3","57.8","13.3","15.9","990.4","21.66374","81.84064000000002"
"Moong(Green Gram)","35.7034453419797907","Bihar",2003,"13.2","39.7","10.2","21.9","41.4","230.9","356.8","310.6","183.9","142","0.2","3","1353.8000000000004","25.64408","85.90651"
"Maize","23.1165750915750918","Punjab",1997,"14.5","5.4","8.9","35.8","30.4","55.3","144.1","261.5","24.3","39","28.8","42.1","690.0999999999997","30.92932","75.50048000000002"
"Moong(Green Gram)","37.7603914485111974","Tamil Nadu",2015,"8.3","2.3","21.7","108.8","112.4","62.4","43.5","81.6","98.4","132.6","379.8","152.8","1204.6","10.90943","78.36653000000003"
"Urad","10.8196203596530102","Uttarakhand",2007,"1.7","138.9","123.1","41.1","78.8","139.9","522.9","502.8","325.6","25.1","7.8","16.7","1924.4","30.04174","79.08969"
